Location,Experience,Job Level,Industry,Employment Type,Welfare,Job Requirements,Follower,Salary
Hà Nội,3.0,Employee,"['electrical', 'electronics', 'refrigeration', 'hardware', 'network', 'mechanical', 'automotive', 'automation']",Official,"['insurance', 'travel', 'allowance', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'annual', 'leave']","{'qualified', 'practice', 'accident', 'proactive', 'work', 'acs', 'professional', 'promotion', 'upon', 'group', 'office', 'engineer', 'highly', 'may', 'standards', 'corporate', 'cooperating', 'engineers', 'party', 'investor', 'year', 'march', 'checkup', 'withstand', 'weddings', 'nationwide', 'solidarity', 'least', 'core', 'many', 'million', 'pressure', 'experience', 'capacity', 'social', 'benefits', 'site', 'accommodation', 'honest', 'birthday', 'environment', 'consultant', 'lantel', 'hardworking', 'voltage', 'current', 'allowances', 'opportunity', 'decrees', 'university', 'automation', 'performance', 'companys', 'design', 'majors', 'values', 'improve', 'ones', 'development', 'system', 'gift', 'illness', 'talented', 'electricity', 'business', 'professionalism', 'new', 'visiting', 'access', 'low', 'april', 'related', 'lunch', 'team', 'probation', 'ms', 'proficient', 'years', 'childrens', 'international', 'open', 'september', 'request', 'rich', 'end', 'knowledge', 'building', 'projects', 'careful', 'staff', 'working', 'brands', 'bms', 'day', 'october', 'pa', 'path', 'invested', 'graduated', 'project', 'management', 'childbirth', 'law', 'industry', 'program', 'activities', 'festival', 'constructionrelated', 'facilitated', 'modern', 'parking', 'midautumn', 'holidays', 'understanding', 'transparent', 'highend', 'culture', 'contractor', 'largescale', 'cctv', 'negotiable', 'field', 'av', 'maximize', 'construction', 'yearend', 'package', 'family', 'regime', 'want', 'receive', 'career', 'autocad', 'attractive', 'regulations', 'teambuilding', 'experienced', 'general', 'resort', 'creativity', 'systems', 'according', 'supervision', 'unique', 'electromechanical', 'period', 'funerals', 'installation'}",1279,22500000
Hà Nội,1.0,Employee,"['sales', 'business']","Bán thời gian, Thời vụ/ Nghề tự do","['insurance', 'travel', 'allowance', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'annual', 'leave']","{'required', 'experience', 'work', 'good', 'reading', 'need', 'creative', 'advantage', 'graduates', 'foundation', 'documents', 'students', 'apply', 'ai', 'know', 'fulltime', 'understanding', 'collegeuniversity', 'telesales', 'responsible', 'english', 'dynamic'}",548,5000000
Hà Nội,1.0,Employee,"['sales', 'business']",Official,"['insurance', 'travel', 'allowance', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'annual', 'leave']","{'enthusiastic', 'skills', 'open', 'economics', 'agile', 'languages', 'following', 'engineering', 'negotiation', 'work', 'good', 'honest', 'word', 'communication', 'excel', 'creative', 'administration', 'negotiating', 'majors', 'fulltime', 'business', 'year', 'dynamic', 'final', 'responsible', 'powerpoint', 'english', 'studentsgraduates', 'proficient'}",548,9000000
Hà Nội,0.0,Employee,"['sales', 'business', 'real', 'estate', 'consulting']",Official,"['travel', 'allowance', 'overseas', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'sports', 'club']","{'skills', 'pressure', 'experience', 'learn', 'passion', 'enthusiasm', 'work', 'good', 'requirements', 'high', 'office', 'persuade', 'progressive', 'communication', 'need', 'diligent', 'customers', 'independently', 'trained', 'ready', 'job', 'persistent', 'computer', 'spirit', 'listen', 'ability', 'withstand', 'consult', 'team', 'dynamic', 'proficient'}",22,37500000
Hồ Chí Minh,1.0,Employee,"['marketing', 'fine', 'arts', 'art', 'design', 'advertising', 'public', 'relations', 'communications']",Official,"['insurance', 'travel', 'allowance', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase']","{'video', 'experience', 'effect', 'premiere', 'editing', 'things', 'given', 'proactive', 'work', 'good', 'attitude', 'priority', 'photoshopal', 'thinking', 'progressive', 'creative', 'techniques', 'least', 'shooting', 'organize', 'serve', 'use', 'candidates', 'job', 'know', 'computer', 'spirit', 'year', 'new', 'trends', 'ability', 'understanding', 'filming', 'love', 'positive', 'catch', 'responsible', 'adobe', 'dynamic', 'proficient'}",165,11000000
Hà Nội,2.0,Employee,"['sales', 'business']",Official,"['insurance', 'travel', 'allowance', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'annual', 'leave']","{'field', 'skills', 'open', 'experience', 'economics', 'technology', 'flexible', 'similar', 'persuasion', 'agile', 'work', 'good', 'honest', 'polite', 'university', 'communication', 'creative', 'automation', 'graduated', 'position', 'majors', 'plan', 'electronics', 'business', 'confident', 'ability', 'college', 'implementation', 'related', 'responsible', 'manage', 'customer', 'least', 'years'}",548,18000000
Bình Dương,1.0,Employee,"['sales', 'business', 'mechanical', 'automotive', 'automation']",Official,"['insurance', 'travel', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'annual', 'leave']","{'experience', 'technology', 'especially', 'engineering', 'software', 'fields', 'majoring', 'printing', 'drawing', 'programs', 'mechanics', 'industries', 'automation', 'graduated', 'sales', 'trained', 'use', 'formal', 'sla', 'technical', 'know', 'year', 'understanding', 'collegeuniversity', 'preferred', 'related', 'hightech', 'informal', 'least'}",227,11000000
Hồ Chí Minh,2.0,Employee,"['retail', 'wholesale', 'food', 'beverage']",Official,"['insurance', 'travel', 'allowance', 'bonus', 'health', 'care', 'training', 'salary', 'increase']","{'specific', 'experience', 'prepare', 'knowledge', 'processes', 'given', 'dc', 'work', 'well', 'steps', 'working', 'priority', 'channel', 'purchasing', 'data', 'exchange', 'analyze', 'convenience', 'summarize', 'warehouse', 'adaptable', 'sales', 'supermarket', 'highly', 'kacvs', 'systems', 'reports', 'industry', 'communicate', 'activities', 'handling', 'system', 'ordering', 'ability', 'stores', 'stage', 'large', 'nationwide', 'responsible', 'time', 'departments', 'fmcg', 'years'}",810,14800000
Hà Nội,1.0,Leader,"['sales', 'business', 'education', 'training', 'executive', 'management']",Official,"['insurance', 'travel', 'allowance', 'uniform', 'bonus', 'training', 'salary', 'increase', 'seniority', 'annual', 'leave']","{'skills', 'complaints', 'agile', 'careful', 'work', 'proactive', 'graduate', 'requirements', 'office', 'malefemale', 'friendly', 'sales', 'health', 'candidates', 'candidate', 'plan', 'participate', 'arrange', 'age', 'laptop', 'year', 'college', 'withstand', 'inquiries', 'least', 'handle', 'dynamic', 'negotiable', 'million', 'pressure', 'experience', 'capacity', 'social', 'benefits', 'honest', 'software', 'environment', 'hardworking', 'high', 'admissions', 'university', 'unemployment', 'regulations', 'strong', 'advantage', 'able', 'organize', 'improve', 'according', 'equivalent', 'passionate', 'business', 'income', 'kpi', 'ability', 'unlimited', 'youthful', 'team', 'customer', 'proficient'}",19,12500000
Hà Nội,5.0,Leader,"['sales', 'business']",Official,"['insurance', 'travel', 'allowance', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'annual', 'leave']","{'official', 'skills', 'quickly', 'experience', 'economics', 'technology', 'learn', 'similar', 'processes', 'potential', 'proactive', 'solutions', 'good', 'work', 'charge', 'degree', 'university', 'communication', 'minimum', 'creative', 'selfdirected', 'automation', 'able', 'customers', 'presentation', 'adapt', 'independently', 'sales', 'highly', 'position', 'majors', 'decisive', 'motivated', 'plan', 'electronics', 'identify', 'business', 'convert', 'new', 'ability', 'implementation', 'understanding', 'related', 'team', 'english', 'manage', 'years'}",548,35000000
